county_fips,year,crop,yield_value,TMIN,TMAX,PRCP,HTDD,CLDD,VPD,ETO,SRAD,WIND,ndvi_mean_year,ndvi_min_year,ndvi_max_year,evi_mean_year,evi_min_year,evi_max_year,state_abbr,county_name,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
19021,2023,CORN,212.0,11.800451206308315,24.844675048892743,491.91800871353774,423.9592726197496,428.0657618430532,1.1252804901734916,893.0567451595796,239.7566539161798,4.350873557225302,0.6124505511251459,0.2276288499555461,0.8411145133622715,0.4532573889991416,0.1291764518069137,0.6786677182155733,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2022,CORN,196.9,11.150905072894895,24.08517498248237,382.8853631390137,588.500809941562,464.3840949809031,1.0397379082540334,881.0024009781795,236.40446223951287,4.889179047756779,0.5860061865540089,0.2318000141206004,0.8517798964489299,0.4216381815418723,0.1330826910203441,0.6947045612154169,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2021,CORN,203.9,11.904011920170325,24.72846922514843,482.6558939771534,470.3155320405613,473.2713162645764,1.0334337734372967,867.18507244146,241.22653913723585,4.317204050528224,0.6313685735142865,0.2718608393912453,0.8639153326185866,0.4557359615954536,0.148135568484912,0.6679667059777209,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2020,CORN,183.9,11.64080534094309,24.23109719542488,344.7572893178622,546.4915297769497,480.2346605864407,1.0569426887104472,883.5133411312248,239.7349444168129,4.519169604628212,0.5822491972613012,0.2538899631295435,0.8356039205585488,0.4151789217352646,0.138813287484964,0.651842796663353,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2019,CORN,190.8,12.094361269569346,22.95512528662837,697.801274911744,510.2154408850496,369.1187174990499,0.6945292060446526,731.6168176444288,229.2247363445122,4.380821106343824,0.5976852250143817,0.2429368505831287,0.8661952562627473,0.4176742389693706,0.136816862873281,0.6677136404999744,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2018,CORN,193.1,12.206401810351515,23.323438510924515,886.4625011265358,592.2349741320148,494.85044336814434,0.7662938565846376,761.8095104073501,236.11286661958167,4.223388660989853,0.6267404070568138,0.2255117941007268,0.845723249307045,0.4427073336035425,0.114199689608284,0.68200027953559,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2017,CORN,187.9,11.878668400246683,24.03610559919452,499.74345320149575,458.8989572711153,396.5433912202722,0.9692697243492996,835.0119798191384,238.2684613332005,4.356126106505516,0.6009407790736184,0.27576761518749,0.8398749785576057,0.4242010113226296,0.1546596017467705,0.6474808221327341,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2016,CORN,201.1,12.522970776590078,24.212912242922155,804.0532123895666,426.08439511853015,438.44974989415226,0.8318039576366204,811.8380574621377,241.2056994289643,4.543318732441394,0.6254567341753391,0.2739331941321061,0.863761503320956,0.4556701486149606,0.1563622067360491,0.7082470234297362,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2015,CORN,202.7,11.947934412740375,23.439418674018636,693.4907879885131,462.505725629582,352.1548565246599,0.7936542014200447,778.1309884511849,236.2249548077608,4.631465966010712,0.6386500709516589,0.2644484498718684,0.8708733358610954,0.4695295607795966,0.1389704432299568,0.7097420702369122,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2014,CORN,172.1,11.008970707380849,22.56223625043587,780.9217578900617,553.5494477952352,277.9292809565671,0.8330611468832716,762.9228174353118,226.24622650415515,4.525104922254762,0.6251298835050012,0.2301025780555412,0.8485462054808846,0.4352960344748158,0.126952612572564,0.6628523332984667,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2013,CORN,160.5,10.950311087328796,24.775246218896488,527.4505147399353,600.7860626656777,521.2117775321868,1.144131116499212,882.8217869028978,229.71206760096757,4.629238209002733,0.5783156127563419,0.2347443402541708,0.8303641883269708,0.3990948506222483,0.1116770744207939,0.6494157180586794,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2012,CORN,148.2,12.09337912933727,28.26707570850416,419.4695387279762,359.648597994386,701.849988237959,1.6302208976153565,1091.8120100964834,249.51790213249348,4.654627756727458,0.5898836734916233,0.28871749751582,0.8255236865226705,0.4114959483900769,0.1552328102609696,0.6290738502170384,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2011,CORN,180.2,11.332403802467134,25.77862412056024,484.11879352110776,552.5189928817466,599.0225338772419,1.2191119567451671,922.4253159021112,235.8226509796315,4.666740444398341,0.6175670341509337,0.2510319363527015,0.8616262546414944,0.4487093048219236,0.1404266011191884,0.6775878751111343,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19021,2010,CORN,178.3,12.229712983220583,24.585204167865903,887.8610736053229,414.9193873016909,434.47684805056986,0.849505852642981,816.6273949234217,237.0661130748983,4.4642634389572216,0.6157286927113292,0.2660974878405935,0.8532414606976617,0.4352610988354861,0.1450517336959362,0.6689679114586046,IA,Buena Vista,37.94708800522526,50.63120072158375,11.421230735735502,6.448887299192885,32.25214531203832,1.4182052159308276
19035,2024,CORN,207.1,11.932982358685065,24.86048980066145,598.017192590686,365.83904892191737,383.4450154224565,0.9169559922950072,839.5135543666323,242.37171754683985,4.434452831721093,0.6187034849731133,0.285598401435897,0.8666396989454191,0.4420603647378616,0.160881918855068,0.7039513758478342,IA,Cherokee,36.51368247409965,53.884578502713374,9.60203811050814,6.366312592501233,31.73100949679329,1.439561544153922
19035,2023,CORN,211.7,11.671425327125872,24.90481384423512,423.0405374715471,434.9390161909926,432.77678078484814,1.1081359527643662,882.1572649682404,240.28592612048703,4.2608434668125135,0.6233510631252821,0.2454033072380822,0.8449986305905747,0.4751121325400528,0.1464414451986579,0.6824735250138646,IA,Cherokee,36.51368247409965,53.884578502713374,9.60203811050814,6.366312592501233,31.73100949679329,1.439561544153922
19035,2022,CORN,198.7,10.882979708233677,24.518441044951523,325.0531208615489,585.6283242463345,476.5576127861953,1.0795282809269675,897.7513699349912,239.44801303285576,4.810838806335758,0.5816855899725571,0.2378495045055704,0.8377109326753049,0.4159864817136153,0.144719280790689,0.6550583498235365,IA,Cherokee,36.51368247409965,53.884578502713374,9.60203811050814,6.366312592501233,31.73100949679329,1.439561544153922
