crop,feature1,feature2,value1,value2,predicted_yield
CORN,ph_mean,clay_mean,6.034,27.334,161.01
CORN,ph_mean,clay_mean,6.034,28.881,158.37
CORN,ph_mean,clay_mean,6.034,30.428,155.51
CORN,ph_mean,clay_mean,6.199,16.508,150.7
CORN,ph_mean,clay_mean,6.199,18.054,152.68
CORN,ph_mean,clay_mean,6.199,19.601,159.32
CORN,ph_mean,clay_mean,6.199,21.148,162.02
CORN,ph_mean,clay_mean,6.199,22.694,162.22
CORN,ph_mean,clay_mean,6.199,24.241,163.12
CORN,ph_mean,clay_mean,6.199,25.788,162.76
CORN,ph_mean,clay_mean,6.199,27.334,161.61
CORN,ph_mean,clay_mean,6.199,28.881,158.95
CORN,ph_mean,clay_mean,6.199,30.428,156.07
CORN,ph_mean,clay_mean,6.363,16.508,151.44
CORN,ph_mean,clay_mean,6.363,18.054,154.16
CORN,ph_mean,clay_mean,6.363,19.601,160.15
CORN,ph_mean,clay_mean,6.363,21.148,161.64
CORN,ph_mean,clay_mean,6.363,22.694,161.66
CORN,ph_mean,clay_mean,6.363,24.241,162.13
CORN,ph_mean,clay_mean,6.363,25.788,161.72
CORN,ph_mean,clay_mean,6.363,27.334,161.09
CORN,ph_mean,clay_mean,6.363,28.881,159.21
CORN,ph_mean,clay_mean,6.363,30.428,157.28
CORN,ph_mean,clay_mean,6.528,16.508,152.55
CORN,ph_mean,clay_mean,6.528,18.054,154.95
CORN,ph_mean,clay_mean,6.528,19.601,160.25
CORN,ph_mean,clay_mean,6.528,21.148,161.82
CORN,ph_mean,clay_mean,6.528,22.694,161.79
CORN,ph_mean,clay_mean,6.528,24.241,162.05
CORN,ph_mean,clay_mean,6.528,25.788,161.55
CORN,ph_mean,clay_mean,6.528,27.334,161.04
CORN,ph_mean,clay_mean,6.528,28.881,159.34
CORN,ph_mean,clay_mean,6.528,30.428,157.82
CORN,ph_mean,clay_mean,6.692,16.508,153.53
CORN,ph_mean,clay_mean,6.692,18.054,155.8
CORN,ph_mean,clay_mean,6.692,19.601,160.7
CORN,ph_mean,clay_mean,6.692,21.148,162.22
CORN,ph_mean,clay_mean,6.692,22.694,162.13
CORN,ph_mean,clay_mean,6.692,24.241,162.21
CORN,ph_mean,clay_mean,6.692,25.788,161.51
CORN,ph_mean,clay_mean,6.692,27.334,160.98
CORN,ph_mean,clay_mean,6.692,28.881,159.41
CORN,ph_mean,clay_mean,6.692,30.428,158.06
CORN,ph_mean,clay_mean,6.857,16.508,155.84
CORN,ph_mean,clay_mean,6.857,18.054,157.68
CORN,ph_mean,clay_mean,6.857,19.601,160.56
CORN,ph_mean,clay_mean,6.857,21.148,161.25
CORN,ph_mean,clay_mean,6.857,22.694,161.1
CORN,ph_mean,clay_mean,6.857,24.241,161.02
CORN,ph_mean,clay_mean,6.857,25.788,160.23
CORN,ph_mean,clay_mean,6.857,27.334,159.74
CORN,ph_mean,clay_mean,6.857,28.881,158.16
CORN,ph_mean,clay_mean,6.857,30.428,157.01
CORN,ph_mean,clay_mean,7.022,16.508,155.09
CORN,ph_mean,clay_mean,7.022,18.054,156.59
CORN,ph_mean,clay_mean,7.022,19.601,157.72
CORN,ph_mean,clay_mean,7.022,21.148,156.98
CORN,ph_mean,clay_mean,7.022,22.694,156.39
CORN,ph_mean,clay_mean,7.022,24.241,155.29
CORN,ph_mean,clay_mean,7.022,25.788,154.46
CORN,ph_mean,clay_mean,7.022,27.334,154.07
CORN,ph_mean,clay_mean,7.022,28.881,152.56
CORN,ph_mean,clay_mean,7.022,30.428,152.03
CORN,ph_mean,clay_mean,7.186,16.508,147.22
CORN,ph_mean,clay_mean,7.186,18.054,147.68
CORN,ph_mean,clay_mean,7.186,19.601,144.24
CORN,ph_mean,clay_mean,7.186,21.148,139.68
CORN,ph_mean,clay_mean,7.186,22.694,138.16
CORN,ph_mean,clay_mean,7.186,24.241,136.2
CORN,ph_mean,clay_mean,7.186,25.788,133.18
CORN,ph_mean,clay_mean,7.186,27.334,132.05
CORN,ph_mean,clay_mean,7.186,28.881,131.23
CORN,ph_mean,clay_mean,7.186,30.428,131.05
CORN,ph_mean,clay_mean,7.351,16.508,146.62
CORN,ph_mean,clay_mean,7.351,18.054,147.09
CORN,ph_mean,clay_mean,7.351,19.601,143.6
CORN,ph_mean,clay_mean,7.351,21.148,139.1
CORN,ph_mean,clay_mean,7.351,22.694,137.36
CORN,ph_mean,clay_mean,7.351,24.241,135.31
CORN,ph_mean,clay_mean,7.351,25.788,132.0
CORN,ph_mean,clay_mean,7.351,27.334,130.82
CORN,ph_mean,clay_mean,7.351,28.881,129.94
CORN,ph_mean,clay_mean,7.351,30.428,129.77
CORN,ph_mean,TMAX_MAX,5.869,32.386,149.14
CORN,ph_mean,TMAX_MAX,5.869,33.668,151.17
CORN,ph_mean,TMAX_MAX,5.869,34.95,147.76
CORN,ph_mean,TMAX_MAX,5.869,36.232,145.42
CORN,ph_mean,TMAX_MAX,5.869,37.514,138.54
CORN,ph_mean,TMAX_MAX,5.869,38.795,136.55
CORN,ph_mean,TMAX_MAX,5.869,40.077,135.94
CORN,ph_mean,TMAX_MAX,5.869,41.359,135.61
CORN,ph_mean,TMAX_MAX,5.869,42.641,135.32
CORN,ph_mean,TMAX_MAX,5.869,43.923,134.79
CORN,ph_mean,TMAX_MAX,6.034,32.386,159.91
CORN,ph_mean,TMAX_MAX,6.034,33.668,167.82
CORN,ph_mean,TMAX_MAX,6.034,34.95,167.56
CORN,ph_mean,TMAX_MAX,6.034,36.232,166.64
CORN,ph_mean,TMAX_MAX,6.034,37.514,153.23
CORN,ph_mean,TMAX_MAX,6.034,38.795,145.67
CORN,ph_mean,TMAX_MAX,6.034,40.077,144.96
CORN,ph_mean,TMAX_MAX,6.034,41.359,144.73
CORN,ph_mean,TMAX_MAX,6.034,42.641,144.37
CORN,ph_mean,TMAX_MAX,6.034,43.923,143.76
CORN,ph_mean,TMAX_MAX,6.199,32.386,160.49
CORN,ph_mean,TMAX_MAX,6.199,33.668,168.05
CORN,ph_mean,TMAX_MAX,6.199,34.95,167.87
CORN,ph_mean,TMAX_MAX,6.199,36.232,167.13
CORN,ph_mean,TMAX_MAX,6.199,37.514,154.18
CORN,ph_mean,TMAX_MAX,6.199,38.795,146.67
CORN,ph_mean,TMAX_MAX,6.199,40.077,145.95
CORN,ph_mean,TMAX_MAX,6.199,41.359,145.75
CORN,ph_mean,TMAX_MAX,6.199,42.641,145.4
CORN,ph_mean,TMAX_MAX,6.199,43.923,144.83
CORN,ph_mean,TMAX_MAX,6.363,32.386,159.3
CORN,ph_mean,TMAX_MAX,6.363,33.668,166.54
CORN,ph_mean,TMAX_MAX,6.363,34.95,166.71
CORN,ph_mean,TMAX_MAX,6.363,36.232,166.67
CORN,ph_mean,TMAX_MAX,6.363,37.514,154.82
CORN,ph_mean,TMAX_MAX,6.363,38.795,147.48
CORN,ph_mean,TMAX_MAX,6.363,40.077,146.55
CORN,ph_mean,TMAX_MAX,6.363,41.359,146.39
CORN,ph_mean,TMAX_MAX,6.363,42.641,146.04
CORN,ph_mean,TMAX_MAX,6.363,43.923,145.5
CORN,ph_mean,TMAX_MAX,6.528,32.386,158.4
CORN,ph_mean,TMAX_MAX,6.528,33.668,166.14
CORN,ph_mean,TMAX_MAX,6.528,34.95,166.61
CORN,ph_mean,TMAX_MAX,6.528,36.232,166.9
CORN,ph_mean,TMAX_MAX,6.528,37.514,155.56
CORN,ph_mean,TMAX_MAX,6.528,38.795,148.29
CORN,ph_mean,TMAX_MAX,6.528,40.077,147.4
CORN,ph_mean,TMAX_MAX,6.528,41.359,147.22
CORN,ph_mean,TMAX_MAX,6.528,42.641,146.82
CORN,ph_mean,TMAX_MAX,6.528,43.923,146.24
CORN,ph_mean,TMAX_MAX,6.692,32.386,158.42
CORN,ph_mean,TMAX_MAX,6.692,33.668,166.42
CORN,ph_mean,TMAX_MAX,6.692,34.95,166.8
CORN,ph_mean,TMAX_MAX,6.692,36.232,167.01
CORN,ph_mean,TMAX_MAX,6.692,37.514,155.79
CORN,ph_mean,TMAX_MAX,6.692,38.795,148.71
CORN,ph_mean,TMAX_MAX,6.692,40.077,147.7
CORN,ph_mean,TMAX_MAX,6.692,41.359,147.51
CORN,ph_mean,TMAX_MAX,6.692,42.641,147.07
CORN,ph_mean,TMAX_MAX,6.692,43.923,146.53
CORN,ph_mean,TMAX_MAX,6.857,32.386,158.02
CORN,ph_mean,TMAX_MAX,6.857,33.668,166.0
CORN,ph_mean,TMAX_MAX,6.857,34.95,166.08
