crop,detrend,predictor_set,r2_lo,r2_hi,skill_lo,skill_hi,gain_vs_climate_lo,gain_vs_climate_hi,p_gain_le_0
SOYBEANS,county,global_mean,-0.372,-0.27,-0.32,-0.119,-0.014,0.064,0.116
SOYBEANS,county,county_mean,-0.184,0.006,0.0,0.0,0.167,0.342,0.0
SOYBEANS,county,county_mean_trend,-0.177,0.011,0.005,0.006,0.174,0.348,0.0
SOYBEANS,county,climate_placebo,-0.394,-0.267,-0.314,-0.133,0.007,0.024,0.0
SOYBEANS,county,climate_only,-0.408,-0.285,-0.334,-0.143,,,
SOYBEANS,county,climate_soil,-0.318,-0.173,-0.234,-0.073,0.073,0.121,0.0
SOYBEANS,county,climate_veg,-0.364,-0.224,-0.276,-0.108,0.024,0.079,0.0
SOYBEANS,county,all_features,-0.303,-0.148,-0.2,-0.063,0.079,0.16,0.0
SOYBEANS,county,SOIL_MINUS_PLACEBO,0.061,0.102,,,0.061,0.102,0.0
WHEAT_SPRING_EXCL_DURUM,none,global_mean,-0.076,-0.0,-1.089,-0.591,-0.41,-0.245,1.0
WHEAT_SPRING_EXCL_DURUM,none,county_mean,0.358,0.509,0.0,0.0,0.026,0.25,0.012
WHEAT_SPRING_EXCL_DURUM,none,county_mean_trend,0.377,0.53,-0.045,0.104,0.033,0.277,0.005
WHEAT_SPRING_EXCL_DURUM,none,climate_placebo,0.246,0.417,-0.425,-0.007,0.01,0.047,0.0
WHEAT_SPRING_EXCL_DURUM,none,climate_only,0.207,0.399,-0.496,-0.042,,,
WHEAT_SPRING_EXCL_DURUM,none,climate_soil,0.36,0.498,-0.15,0.093,0.057,0.201,0.0
WHEAT_SPRING_EXCL_DURUM,none,climate_veg,0.403,0.59,-0.068,0.271,0.148,0.248,0.0
WHEAT_SPRING_EXCL_DURUM,none,all_features,0.501,0.648,0.111,0.372,0.219,0.33,0.0
WHEAT_SPRING_EXCL_DURUM,none,SOIL_MINUS_PLACEBO,0.036,0.166,,,0.036,0.166,0.001
WHEAT_SPRING_EXCL_DURUM,county,global_mean,-0.133,-0.016,-0.376,-0.072,-0.198,-0.05,1.0
WHEAT_SPRING_EXCL_DURUM,county,county_mean,0.014,0.23,0.0,0.0,-0.066,0.173,0.174
WHEAT_SPRING_EXCL_DURUM,county,county_mean_trend,0.025,0.238,0.005,0.015,-0.056,0.183,0.13
WHEAT_SPRING_EXCL_DURUM,county,climate_placebo,0.014,0.149,-0.211,0.083,-0.0,0.029,0.029
WHEAT_SPRING_EXCL_DURUM,county,climate_only,-0.005,0.137,-0.221,0.069,,,
WHEAT_SPRING_EXCL_DURUM,county,climate_soil,0.057,0.223,-0.091,0.099,-0.012,0.154,0.048
WHEAT_SPRING_EXCL_DURUM,county,climate_veg,0.157,0.321,0.026,0.228,0.113,0.246,0.0
WHEAT_SPRING_EXCL_DURUM,county,all_features,0.196,0.355,0.081,0.257,0.135,0.286,0.0
WHEAT_SPRING_EXCL_DURUM,county,SOIL_MINUS_PLACEBO,-0.026,0.14,,,-0.026,0.14,0.106
