county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
48415,Scurry,TX,28.802377286154233,35.90275752623971,35.295583244296395,7.645976054302055,23.916928540003774,1.5118787316950537
48121,Denton,TX,34.90704949553871,42.147231404065934,22.944800916023937,6.8077797221682115,29.76297664571046,1.5497841726618704
48135,Ector,TX,22.495149546320153,28.200131223095262,49.30437356974828,7.680330938245132,12.693531661572436,1.4991476899934388
48321,Matagorda,TX,42.21728815307649,41.4718139151065,16.311140337304657,6.572592707205116,45.93853215740884,1.5270313064108516
48021,Bastrop,TX,23.70638208654814,27.67081236721458,48.622553952812254,6.194165828021917,36.93561444705357,1.530820474113832
48293,Limestone,TX,28.727799195205,31.099817092044912,40.17240059656133,6.283473562765568,30.751616624926136,1.5097335171792778
48387,Red River,TX,22.33333046656633,47.2237948828209,30.442640292410232,5.714224897871426,34.26839389378628,1.408448290690174
48197,Hardeman,TX,30.036490613385098,41.32367841670415,28.639892521483866,7.232986908453872,19.07639023697356,1.5238633081603183
48463,Uvalde,TX,33.47685356811863,38.686334569045414,27.836538461538463,7.320565338276181,38.73775409329626,1.4631119864071673
48017,Bailey,TX,19.921614591349854,19.004446667692783,61.073917192550404,7.422341080498692,14.585068493150686,1.4718057565030014
48013,Atascosa,TX,29.08977227233121,26.210653981112966,44.69955726161599,7.06952170124579,24.470360078185713,1.5374226974071545
48297,Live Oak,TX,29.46353639296395,25.963988508724423,44.572541031860034,7.238024819271435,24.874634422021806,1.5299769232580593
48109,Culberson,TX,19.582839948584116,35.845269349121644,44.571999766291434,7.871491450161649,12.695543956686013,1.4145228450122698
48421,Sherman,TX,27.55881515935066,36.45164705702352,35.98929757187228,7.510194464419589,15.112238559341483,1.5230958245995196
48363,Palo Pinto,TX,22.726727181878747,33.87574450366422,43.39802131912059,6.967030313124583,32.698570952698205,1.5087233510992673
48267,Kimble,TX,37.57442186526345,41.00132590182095,21.42380564979575,7.149485910129475,45.99442117288652,1.4638463269403863
48427,Starr,TX,22.81117700045038,25.819969474052943,51.3688960616524,7.686138217484862,15.085540209177802,1.5634879647700546
48263,Kent,TX,26.81713727961634,38.818466882887314,34.36445732204067,7.621879275097223,26.95162549764053,1.5211631338672242
48493,Wilson,TX,24.546723910962182,24.490387146960266,50.96279320248923,6.995712661560555,26.178009813307803,1.5444818094782193
48307,McCulloch,TX,33.53151936805923,38.698016922263356,27.769891922263355,7.071777498677949,29.936229177683764,1.5401794685351666
48113,Dallas,TX,31.232727837292344,35.423917093619,33.34357242664183,6.456155876416706,35.32215494488433,1.5066918956683744
48217,Hill,TX,38.20959519398125,41.945019931503005,19.845275391611928,7.063629217899051,29.685144012127335,1.5621281792150918
48105,Crockett,TX,31.10746640879479,45.198707247557,23.694019747557004,7.6938161644951135,25.974491042345278,1.4452478623778502
